country_id,country_value,indicator_name,year,value,region,incomeLevel,lendingType,longitude,latitude
V2,Early-demographic dividend,Exports of goods and services (current US$),2023,3863383843212.38,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,Exports of goods and services (current US$),2022,3986345966802.91,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,Exports of goods and services (current US$),2021,3254070704862.9,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,Exports of goods and services (current US$),2020,2425865761878.0,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,Exports of goods and services (current US$),2019,2916787616108.96,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,Exports of goods and services (current US$),2018,2989960297412.38,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,Exports of goods and services (current US$),2017,2690660794123.95,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,Exports of goods and services (current US$),2016,2382700063974.47,Aggregates,Aggregates,Aggregates,,
Z4,East Asia & Pacific,Exports of goods and services (current US$),2025,,Aggregates,Aggregates,Aggregates,,
Z4,East Asia & Pacific,Exports of goods and services (current US$),2024,9913974194654.66,Aggregates,Aggregates,Aggregates,,
Z4,East Asia & Pacific,Exports of goods and services (current US$),2023,9309336051781.3,Aggregates,Aggregates,Aggregates,,
Z4,East Asia & Pacific,Exports of goods and services (current US$),2022,9698595556200.46,Aggregates,Aggregates,Aggregates,,
Z4,East Asia & Pacific,Exports of goods and services (current US$),2021,9051084565466.21,Aggregates,Aggregates,Aggregates,,
Z4,East Asia & Pacific,Exports of goods and services (current US$),2020,7229635520462.29,Aggregates,Aggregates,Aggregates,,
Z4,East Asia & Pacific,Exports of goods and services (current US$),2019,7542519927499.17,Aggregates,Aggregates,Aggregates,,
Z4,East Asia & Pacific,Exports of goods and services (current US$),2018,7706572168649.11,Aggregates,Aggregates,Aggregates,,
Z4,East Asia & Pacific,Exports of goods and services (current US$),2017,7095510535773.31,Aggregates,Aggregates,Aggregates,,
Z4,East Asia & Pacific,Exports of goods and services (current US$),2016,6412887123971.02,Aggregates,Aggregates,Aggregates,,
4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2025,,Aggregates,Aggregates,Aggregates,,
4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2024,5384630257903.61,Aggregates,Aggregates,Aggregates,,
4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2023,4986138164897.3,Aggregates,Aggregates,Aggregates,,
4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2022,5273235667330.35,Aggregates,Aggregates,Aggregates,,
4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2021,4900344679788.04,Aggregates,Aggregates,Aggregates,,
4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2020,3830189793755.46,Aggregates,Aggregates,Aggregates,,
4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2019,3859165048260.15,Aggregates,Aggregates,Aggregates,,
4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2018,3881217853154.79,Aggregates,Aggregates,Aggregates,,
4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2017,3543229128563.56,Aggregates,Aggregates,Aggregates,,
4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2016,3184875058854.76,Aggregates,Aggregates,Aggregates,,
T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2025,,Aggregates,Aggregates,Aggregates,,
T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2024,5377618134840.54,Aggregates,Aggregates,Aggregates,,
T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2023,4979601974468.68,Aggregates,Aggregates,Aggregates,,
T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2022,5266296571900.22,Aggregates,Aggregates,Aggregates,,
T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2021,4893853806581.97,Aggregates,Aggregates,Aggregates,,
T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2020,3825177284961.31,Aggregates,Aggregates,Aggregates,,
T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2019,3854183225485.83,Aggregates,Aggregates,Aggregates,,
T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2018,3876217916265.48,Aggregates,Aggregates,Aggregates,,
T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2017,3538684711806.51,Aggregates,Aggregates,Aggregates,,
T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2016,3180829502059.83,Aggregates,Aggregates,Aggregates,,
XC,Euro area,Exports of goods and services (current US$),2025,,Aggregates,Aggregates,Aggregates,,
XC,Euro area,Exports of goods and services (current US$),2024,8105847354423.04,Aggregates,Aggregates,Aggregates,,
XC,Euro area,Exports of goods and services (current US$),2023,7978037743949.34,Aggregates,Aggregates,Aggregates,,
XC,Euro area,Exports of goods and services (current US$),2022,7815450273992.55,Aggregates,Aggregates,Aggregates,,
XC,Euro area,Exports of goods and services (current US$),2021,7245619478850.78,Aggregates,Aggregates,Aggregates,,
XC,Euro area,Exports of goods and services (current US$),2020,5926775269616.62,Aggregates,Aggregates,Aggregates,,
XC,Euro area,Exports of goods and services (current US$),2019,6443247547680.73,Aggregates,Aggregates,Aggregates,,
XC,Euro area,Exports of goods and services (current US$),2018,6534860650692.68,Aggregates,Aggregates,Aggregates,,
XC,Euro area,Exports of goods and services (current US$),2017,5948409013130.16,Aggregates,Aggregates,Aggregates,,
XC,Euro area,Exports of goods and services (current US$),2016,5418277022825.19,Aggregates,Aggregates,Aggregates,,
Z7,Europe & Central Asia,Exports of goods and services (current US$),2025,,Aggregates,Aggregates,Aggregates,,
Z7,Europe & Central Asia,Exports of goods and services (current US$),2024,13129045905189.2,Aggregates,Aggregates,Aggregates,,
Z7,Europe & Central Asia,Exports of goods and services (current US$),2023,12859649011799.2,Aggregates,Aggregates,Aggregates,,
Z7,Europe & Central Asia,Exports of goods and services (current US$),2022,12843930534714.4,Aggregates,Aggregates,Aggregates,,
Z7,Europe & Central Asia,Exports of goods and services (current US$),2021,11610809293390.2,Aggregates,Aggregates,Aggregates,,
Z7,Europe & Central Asia,Exports of goods and services (current US$),2020,9358949545211.11,Aggregates,Aggregates,Aggregates,,
Z7,Europe & Central Asia,Exports of goods and services (current US$),2019,10274649431650.7,Aggregates,Aggregates,Aggregates,,
Z7,Europe & Central Asia,Exports of goods and services (current US$),2018,10410851721147.1,Aggregates,Aggregates,Aggregates,,
Z7,Europe & Central Asia,Exports of goods and services (current US$),2017,9404907313966.76,Aggregates,Aggregates,Aggregates,,
Z7,Europe & Central Asia,Exports of goods and services (current US$),2016,8554872091264.83,Aggregates,Aggregates,Aggregates,,
7E,Europe & Central Asia (excluding high income),Exports of goods and services (current US$),2025,,Aggregates,Aggregates,Aggregates,,
7E,Europe & Central Asia (excluding high income),Exports of goods and services (current US$),2024,781490820323.544,Aggregates,Aggregates,Aggregates,,
7E,Europe & Central Asia (excluding high income),Exports of goods and services (current US$),2023,752601713213.174,Aggregates,Aggregates,Aggregates,,
7E,Europe & Central Asia (excluding high income),Exports of goods and services (current US$),2022,742638652620.425,Aggregates,Aggregates,Aggregates,,
7E,Europe & Central Asia (excluding high income),Exports of goods and services (current US$),2021,629555294382.983,Aggregates,Aggregates,Aggregates,,
7E,Europe & Central Asia (excluding high income),Exports of goods and services (current US$),2020,461519815826.7,Aggregates,Aggregates,Aggregates,,
7E,Europe & Central Asia (excluding high income),Exports of goods and services (current US$),2019,554004317002.752,Aggregates,Aggregates,Aggregates,,
7E,Europe & Central Asia (excluding high income),Exports of goods and services (current US$),2018,543346898022.236,Aggregates,Aggregates,Aggregates,,
7E,Europe & Central Asia (excluding high income),Exports of goods and services (current US$),2017,477686752813.7,Aggregates,Aggregates,Aggregates,,
7E,Europe & Central Asia (excluding high income),Exports of goods and services (current US$),2016,415277683200.895,Aggregates,Aggregates,Aggregates,,
T7,Europe & Central Asia (IDA & IBRD countries),Exports of goods and services (current US$),2025,,Aggregates,Aggregates,Aggregates,,
T7,Europe & Central Asia (IDA & IBRD countries),Exports of goods and services (current US$),2024,1983503498064.12,Aggregates,Aggregates,Aggregates,,
T7,Europe & Central Asia (IDA & IBRD countries),Exports of goods and services (current US$),2023,1933652060640.75,Aggregates,Aggregates,Aggregates,,
T7,Europe & Central Asia (IDA & IBRD countries),Exports of goods and services (current US$),2022,2045818126647.07,Aggregates,Aggregates,Aggregates,,
T7,Europe & Central Asia (IDA & IBRD countries),Exports of goods and services (current US$),2021,1773991864063.62,Aggregates,Aggregates,Aggregates,,
T7,Europe & Central Asia (IDA & IBRD countries),Exports of goods and services (current US$),2020,1316682291782.93,Aggregates,Aggregates,Aggregates,,
T7,Europe & Central Asia (IDA & IBRD countries),Exports of goods and services (current US$),2019,1528461384558.82,Aggregates,Aggregates,Aggregates,,
T7,Europe & Central Asia (IDA & IBRD countries),Exports of goods and services (current US$),2018,1539162854497.37,Aggregates,Aggregates,Aggregates,,
T7,Europe & Central Asia (IDA & IBRD countries),Exports of goods and services (current US$),2017,1317613766903.86,Aggregates,Aggregates,Aggregates,,
T7,Europe & Central Asia (IDA & IBRD countries),Exports of goods and services (current US$),2016,1119150391061.58,Aggregates,Aggregates,Aggregates,,
EU,European Union,Exports of goods and services (current US$),2025,,Aggregates,Aggregates,Aggregates,,
EU,European Union,Exports of goods and services (current US$),2024,9821037472659.41,Aggregates,Aggregates,Aggregates,,
EU,European Union,Exports of goods and services (current US$),2023,9657456788388.33,Aggregates,Aggregates,Aggregates,,
EU,European Union,Exports of goods and services (current US$),2022,9413905146401.02,Aggregates,Aggregates,Aggregates,,
EU,European Union,Exports of goods and services (current US$),2021,8698132212489.88,Aggregates,Aggregates,Aggregates,,
EU,European Union,Exports of goods and services (current US$),2020,7107614522357.86,Aggregates,Aggregates,Aggregates,,
EU,European Union,Exports of goods and services (current US$),2019,7684155677487.96,Aggregates,Aggregates,Aggregates,,
EU,European Union,Exports of goods and services (current US$),2018,7769970730709.28,Aggregates,Aggregates,Aggregates,,
EU,European Union,Exports of goods and services (current US$),2017,7063724441817.75,Aggregates,Aggregates,Aggregates,,
EU,European Union,Exports of goods and services (current US$),2016,6421420485288.86,Aggregates,Aggregates,Aggregates,,
